zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(4960, -137), P2(4943, 728), HeightProb:80, HeightStatus:1, Dist:1182, PosDeDis1:1385, l_TrainResult:0, probability:2769
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(4936, -137), P2(4923, 728), HeightProb:80, HeightStatus:1, Dist:1183, PosDeDis1:1233, l_TrainResult:0, probability:1371
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(4938, -137), P2(4923, 728), HeightProb:80, HeightStatus:1, Dist:1183, PosDeDis1:1233, l_TrainResult:0, probability:1171
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(4938, -137), P2(4923, 728), HeightProb:80, HeightStatus:1, Dist:1162, PosDeDis1:1234, l_TrainResult:0, probability:2611
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(4903, -137), P2(4890, 728), HeightProb:80, HeightStatus:1, Dist:1138, PosDeDis1:1326, l_TrainResult:0, probability:2850
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(4891, -137), P2(4879, 728), HeightProb:80, HeightStatus:1, Dist:1116, PosDeDis1:1174, l_TrainResult:0, probability:2210
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(4891, -137), P2(4879, 728), HeightProb:80, HeightStatus:1, Dist:1116, PosDeDis1:1174, l_TrainResult:0, probability:1419
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(4869, -137), P2(4855, 728), HeightProb:80, HeightStatus:1, Dist:1104, PosDeDis1:1179, l_TrainResult:0, probability:1598
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(4845, -137), P2(4833, 728), HeightProb:80, HeightStatus:1, Dist:1069, PosDeDis1:1274, l_TrainResult:0, probability:2973
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(4821, -137), P2(4814, 728), HeightProb:80, HeightStatus:1, Dist:1070, PosDeDis1:1128, l_TrainResult:0, probability:2075
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(4825, -137), P2(4818, 728), HeightProb:80, HeightStatus:1, Dist:1070, PosDeDis1:1128, l_TrainResult:0, probability:1795
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(4827, -162), P2(4818, 728), HeightProb:80, HeightStatus:1, Dist:1052, PosDeDis1:1136, l_TrainResult:0, probability:3186
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(4791, -162), P2(4784, 728), HeightProb:80, HeightStatus:1, Dist:1029, PosDeDis1:1224, l_TrainResult:0, probability:3635
